Category,Food_Item,Travel_Time,Cooking_Status,Quantity,Compliance_Status,Special_Packing_Required,Packing_Guidelines,Image_URL
Vegetables,Broccoli,Above 18 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper inside a rigid container (to prevent crushing or exposure to moisture over long travel times).,packing-images\0001.jpg
Vegetables,Broccoli,3–5 hours,Uncooked,1kg,Restricted,Yes,"Use insulated coolers with ice packs if needed, but minimal risk of thawing.",packing-images\0003.jpg
Vegetables,Broccoli,6–8 hours,Uncooked,1kg,Restricted,Yes,Use insulated coolers with ice packs to keep frozen. Ensure leak-proof packaging.,packing-images\0003.jpg
Vegetables,Broccoli,9–12 hours,Uncooked,1kg,Restricted,Yes,Use high-quality insulated coolers with multiple ice packs. Ensure leak-proof packaging to prevent spills.,packing-images\0003.jpg
Vegetables,Broccoli,13–18 hours,Uncooked,1kg,Restricted,Yes,Use insulated coolers with sufficient ice packs or dry ice. Ensure airtight and leak-proof packaging.,packing-images\0003.jpg
Vegetables,Broccoli,Above 18 hours,Uncooked,1kg,Restricted,Yes,Use heavy-duty insulated coolers with dry ice or gel packs. Ensure complete leak-proof and airtight sealing to maintain frozen state.,packing-images\0003.jpg
Vegetables,Spinach,3–5 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Spinach,6–8 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Ensure airtight sealing for freshness.),packing-images\0001.jpg
Vegetables,Spinach,9–12 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Consider extra wrapping or a moisture-proof bag.),packing-images\0001.jpg
Vegetables,Spinach,13–18 hours,Cooked,1kg,Allowed,No,"Use resealable bags or food-grade wrapping paper, plus an additional protective layer (e.g., double wrapping or an extra sealed bag to prevent contamination).",packing-images\0001.jpg
Vegetables,Spinach,Above 18 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper inside a rigid container (to prevent crushing or exposure to moisture over long travel times).,packing-images\0001.jpg
Vegetables,Spinach,3–5 hours,Uncooked,1kg,Restricted,Yes,"Use insulated coolers with ice packs if needed, but minimal risk of thawing.",packing-images\0003.jpg
Vegetables,Spinach,6–8 hours,Uncooked,1kg,Restricted,Yes,Use insulated coolers with ice packs to keep frozen. Ensure leak-proof packaging.,packing-images\0003.jpg
Vegetables,Spinach,9–12 hours,Uncooked,1kg,Restricted,Yes,Use high-quality insulated coolers with multiple ice packs. Ensure leak-proof packaging to prevent spills.,packing-images\0003.jpg
Vegetables,Spinach,13–18 hours,Uncooked,1kg,Restricted,Yes,Use insulated coolers with sufficient ice packs or dry ice. Ensure airtight and leak-proof packaging.,packing-images\0003.jpg
Vegetables,Spinach,Above 18 hours,Uncooked,1kg,Restricted,Yes,Use heavy-duty insulated coolers with dry ice or gel packs. Ensure complete leak-proof and airtight sealing to maintain frozen state.,packing-images\0003.jpg
Vegetables,Tomato,3–5 hours,Cooked,1kg,Allowed,No,Use breathable containers or perforated bags to prevent moisture buildup.,packing-images\0002.jpg
Vegetables,Tomato,6–8 hours,Cooked,1kg,Allowed,No,Pack in a sturdy container with some padding to prevent bruising.,packing-images\0002.jpg
Vegetables,Tomato,9–12 hours,Cooked,1kg,Allowed,No,"Use firm, shock-absorbing packaging like foam trays or padded boxes.",packing-images\0002.jpg
Vegetables,Tomato,13–18 hours,Cooked,1kg,Allowed,No,"Ensure rigid, ventilated containers with cushioning layers to minimize impact.",packing-images\0002.jpg
Vegetables,Tomato,Above 18 hours,Cooked,1kg,Allowed,No,Pack in foam-lined or padded rigid containers to prevent crushing during long travel.,packing-images\0002.jpg
Vegetables,Tomato,3–5 hours,Uncooked,1kg,Restricted,Yes,"Use thermal bags if needed, but temperature fluctuations are minimal.",packing-images\0004.jpg
Vegetables,Tomato,6–8 hours,Uncooked,1kg,Restricted,Yes,Use thermal bags to maintain temperature stability. Ensure proper sealing.,packing-images\0004.jpg
Vegetables,Tomato,9–12 hours,Uncooked,1kg,Restricted,Yes,Use high-quality thermal bags with an extra insulating layer to retain temperature.,packing-images\0004.jpg
Vegetables,Tomato,13–18 hours,Uncooked,1kg,Restricted,Yes,"Use thermal bags with additional insulation (e.g., foil lining or gel packs) for prolonged temperature control.",packing-images\0004.jpg
Vegetables,Tomato,Above 18 hours,Uncooked,1kg,Restricted,Yes,Use heavy-duty thermal bags with gel packs or dry ice inside a secondary insulated container for extended travel.,packing-images\0004.jpg
Vegetables,Onion,3–5 hours,Cooked,1kg,Allowed,No,Use breathable containers or perforated bags to prevent moisture buildup.,packing-images\0002.jpg
Vegetables,Onion,6–8 hours,Cooked,1kg,Allowed,No,Pack in a sturdy container with some padding to prevent bruising.,packing-images\0002.jpg
Vegetables,Onion,9–12 hours,Cooked,1kg,Allowed,No,"Use firm, shock-absorbing packaging like foam trays or padded boxes.",packing-images\0002.jpg
Vegetables,Onion,13–18 hours,Cooked,1kg,Allowed,No,"Ensure rigid, ventilated containers with cushioning layers to minimize impact.",packing-images\0002.jpg
Vegetables,Onion,Above 18 hours,Cooked,1kg,Allowed,No,Pack in foam-lined or padded rigid containers to prevent crushing during long travel.,packing-images\0002.jpg
Vegetables,Onion,3–5 hours,Uncooked,1kg,Restricted,Yes,Vacuum sealing is optional but helpful for pre-cut fruits and vegetables.,packing-images\0005.jpg
Vegetables,Onion,6–8 hours,Uncooked,1kg,Restricted,Yes,Use vacuum-sealed bags to slow spoilage and maintain freshness.,packing-images\0005.jpg
Vegetables,Onion,9–12 hours,Uncooked,1kg,Restricted,Yes,Ensure vacuum-sealed bags are properly sealed to prevent air exposure.,packing-images\0005.jpg
Vegetables,Onion,13–18 hours,Uncooked,1kg,Restricted,Yes,Use high-quality vacuum-sealed bags with an oxygen absorber for longer preservation.,packing-images\0005.jpg
Vegetables,Onion,Above 18 hours,Uncooked,1kg,Restricted,Yes,Use reinforced vacuum-sealed bags inside a rigid container to prevent crushing and contamination.,packing-images\0005.jpg
Vegetables,Potato,3–5 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Potato,6–8 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Ensure airtight sealing for freshness.),packing-images\0001.jpg
Vegetables,Potato,9–12 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Consider extra wrapping or a moisture-proof bag.),packing-images\0001.jpg
Vegetables,Potato,13–18 hours,Cooked,1kg,Allowed,No,"Use resealable bags or food-grade wrapping paper, plus an additional protective layer (e.g., double wrapping or an extra sealed bag to prevent contamination).",packing-images\0001.jpg
Vegetables,Potato,Above 18 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper inside a rigid container (to prevent crushing or exposure to moisture over long travel times).,packing-images\0001.jpg
Vegetables,Potato,3–5 hours,Uncooked,1kg,Allowed,No,Potatoes must be free of soil and pests.,packing-images\0012.jpg
Vegetables,Potato,6–8 hours,Uncooked,1kg,Allowed,No,Potatoes must be free of soil and pests.,packing-images\0012.jpg
Vegetables,Potato,9–12 hours,Uncooked,1kg,Allowed,No,Potatoes must be free of soil and pests.,packing-images\0012.jpg
Vegetables,Potato,13–18 hours,Uncooked,1kg,Allowed,No,Potatoes must be free of soil and pests.,packing-images\0012.jpg
Vegetables,Potato,Above 18 hours,Uncooked,1kg,Allowed,No,Potatoes must be free of soil and pests.,packing-images\0012.jpg
Vegetables,Capsicum,3–5 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Capsicum,6–8 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Ensure airtight sealing for freshness.),packing-images\0001.jpg
Vegetables,Capsicum,9–12 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Consider extra wrapping or a moisture-proof bag.),packing-images\0001.jpg
Vegetables,Capsicum,13–18 hours,Cooked,1kg,Allowed,No,"Use resealable bags or food-grade wrapping paper, plus an additional protective layer (e.g., double wrapping or an extra sealed bag to prevent contamination).",packing-images\0001.jpg
Vegetables,Capsicum,Above 18 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper inside a rigid container (to prevent crushing or exposure to moisture over long travel times).,packing-images\0001.jpg
Vegetables,Capsicum,3–5 hours,Uncooked,1kg,Restricted,Yes,Airtight containers are optional; breathable packaging may be sufficient.,packing-images\0006.jpg
Vegetables,Capsicum,6–8 hours,Uncooked,1kg,Restricted,Yes,Use airtight containers to retain moisture and freshness.,packing-images\0006.jpg
Vegetables,Capsicum,9–12 hours,Uncooked,1kg,Restricted,Yes,Ensure airtight containers are properly sealed to prevent spoilage.,packing-images\0006.jpg
Vegetables,Capsicum,13–18 hours,Uncooked,1kg,Restricted,Yes,Use high-quality airtight containers with ventilation for long storage.,packing-images\0006.jpg
Vegetables,Capsicum,Above 18 hours,Uncooked,1kg,Restricted,Yes,Pack in airtight containers with a rigid outer layer to prevent damage.,packing-images\0006.jpg
Vegetables,Lettuce,3–5 hours,Cooked,1kg,Allowed,No,Mesh bags are optional; minimal risk of spoilage.,packing-images\0007.jpg
Vegetables,Lettuce,6–8 hours,Cooked,1kg,Allowed,No,Use breathable mesh bags to prevent condensation.,packing-images\0007.jpg
Vegetables,Lettuce,9–12 hours,Cooked,1kg,Allowed,No,Ensure mesh bags have proper airflow to avoid moisture buildup.,packing-images\0007.jpg
Vegetables,Lettuce,13–18 hours,Cooked,1kg,Allowed,No,Use high-quality mesh bags with extra ventilation to maintain freshness.,packing-images\0007.jpg
Vegetables,Lettuce,Above 18 hours,Cooked,1kg,Allowed,No,Store in mesh bags inside a well-ventilated container to prevent spoilage.,packing-images\0007.jpg
Vegetables,Lettuce,3–5 hours,Uncooked,1kg,Allowed,No,Commercial packaging is recommended for hygiene and freshness.,packing-images\0008.jpg
Vegetables,Lettuce,6–8 hours,Uncooked,1kg,Allowed,No,Commercial packing ensures the food stays fresh and protected.,packing-images\0008.jpg
Vegetables,Lettuce,9–12 hours,Uncooked,1kg,Allowed,No,Commercial packaging is essential to avoid contamination and preserve quality.,packing-images\0008.jpg
Vegetables,Lettuce,13–18 hours,Uncooked,1kg,Allowed,No,Use commercially packed items to maintain freshness and prevent spoilage.,packing-images\0008.jpg
Vegetables,Lettuce,Above 18 hours,Uncooked,1kg,Allowed,No,Commercially packed items are necessary to maintain quality and safety during extended travel.,packing-images\0008.jpg
Vegetables,Fresh Peppers,3–5 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Fresh Peppers,6–8 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Ensure airtight sealing for freshness.),packing-images\0001.jpg
Vegetables,Fresh Peppers,9–12 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Consider extra wrapping or a moisture-proof bag.),packing-images\0001.jpg
Vegetables,Fresh Peppers,13–18 hours,Cooked,1kg,Allowed,No,"Use resealable bags or food-grade wrapping paper, plus an additional protective layer (e.g., double wrapping or an extra sealed bag to prevent contamination).",packing-images\0001.jpg
Vegetables,Fresh Peppers,Above 18 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper inside a rigid container (to prevent crushing or exposure to moisture over long travel times).,packing-images\0001.jpg
Vegetables,Fresh Peppers,3–5 hours,Uncooked,1kg,Allowed,No,Can be carried without restrictions.,packing-images\0009.jpg
Vegetables,Fresh Peppers,6–8 hours,Uncooked,1kg,Allowed,No,Can be carried without restrictions.,packing-images\0009.jpg
Vegetables,Fresh Peppers,9–12 hours,Uncooked,1kg,Allowed,No,Can be carried without restrictions.,packing-images\0009.jpg
Vegetables,Fresh Peppers,13–18 hours,Uncooked,1kg,Allowed,No,Can be carried without restrictions.,packing-images\0009.jpg
Vegetables,Fresh Peppers,Above 18 hours,Uncooked,1kg,Allowed,No,Can be carried without restrictions.,packing-images\0009.jpg
Vegetables,Dried Mushrooms,3–5 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Dried Mushrooms,6–8 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Ensure airtight sealing for freshness.),packing-images\0001.jpg
Vegetables,Dried Mushrooms,9–12 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Consider extra wrapping or a moisture-proof bag.),packing-images\0001.jpg
Vegetables,Dried Mushrooms,13–18 hours,Cooked,1kg,Allowed,No,"Use resealable bags or food-grade wrapping paper, plus an additional protective layer (e.g., double wrapping or an extra sealed bag to prevent contamination).",packing-images\0001.jpg
Vegetables,Dried Mushrooms,Above 18 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper inside a rigid container (to prevent crushing or exposure to moisture over long travel times).,packing-images\0001.jpg
Vegetables,Dried Mushrooms,3–5 hours,Uncooked,1kg,Allowed,No,Original sealed packaging is optional; breathable packaging may be sufficient.,packing-images\0010.jpg
Vegetables,Dried Mushrooms,6–8 hours,Uncooked,1kg,Allowed,No,Keep in original sealed packaging to maintain freshness and avoid exposure.,packing-images\0010.jpg
Vegetables,Dried Mushrooms,9–12 hours,Uncooked,1kg,Allowed,No,Ensure vegetables remain in original sealed packaging to retain moisture.,packing-images\0010.jpg
Vegetables,Dried Mushrooms,13–18 hours,Uncooked,1kg,Allowed,No,"Must be in original sealed packaging with an extra moisture barrier (e.g., vacuum-sealed or air-tight packaging).",packing-images\0010.jpg
Vegetables,Dried Mushrooms,Above 18 hours,Uncooked,1kg,Allowed,No,"Required in original sealed packaging, preferably inside a rigid container to prevent damage and spoilage.",packing-images\0010.jpg
Vegetables,Sweet Corn,3–5 hours,Cooked,1kg,Allowed,No,Mesh bags or perforated plastic containers are sufficient for short travel.,packing-images\0011.jpg
Vegetables,Sweet Corn,6–8 hours,Cooked,1kg,Allowed,No,Use breathable mesh bags or perforated plastic to avoid moisture buildup.,packing-images\0011.jpg
Vegetables,Sweet Corn,9–12 hours,Cooked,1kg,Allowed,No,Ensure vegetables are loosely packed in mesh bags or ventilated containers to maintain airflow.,packing-images\0011.jpg
Vegetables,Sweet Corn,13–18 hours,Cooked,1kg,Allowed,No,Pack in breathable mesh bags inside a ventilated container to prevent spoilage.,packing-images\0011.jpg
Vegetables,Sweet Corn,Above 18 hours,Cooked,1kg,Allowed,No,Required in breathable mesh bags placed inside a rigid container to maintain freshness and prevent physical damage.,packing-images\0011.jpg
Vegetables,Sweet Corn,3–5 hours,Uncooked,1kg,Allowed,No,Can be carried without restrictions.,packing-images\0009.jpg
Vegetables,Sweet Corn,6–8 hours,Uncooked,1kg,Allowed,No,Can be carried without restrictions.,packing-images\0009.jpg
Vegetables,Sweet Corn,9–12 hours,Uncooked,1kg,Allowed,No,Can be carried without restrictions.,packing-images\0009.jpg
Vegetables,Sweet Corn,13–18 hours,Uncooked,1kg,Allowed,No,Can be carried without restrictions.,packing-images\0009.jpg
Vegetables,Sweet Corn,Above 18 hours,Uncooked,1kg,Allowed,No,Can be carried without restrictions.,packing-images\0009.jpg
Vegetables,Zucchini,3–5 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Zucchini,6–8 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Ensure airtight sealing for freshness.),packing-images\0001.jpg
Vegetables,Zucchini,9–12 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Consider extra wrapping or a moisture-proof bag.),packing-images\0001.jpg
Vegetables,Zucchini,13–18 hours,Cooked,1kg,Allowed,No,"Use resealable bags or food-grade wrapping paper, plus an additional protective layer (e.g., double wrapping or an extra sealed bag to prevent contamination).",packing-images\0001.jpg
Vegetables,Zucchini,Above 18 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper inside a rigid container (to prevent crushing or exposure to moisture over long travel times).,packing-images\0001.jpg
Vegetables,Zucchini,3–5 hours,Uncooked,1kg,Allowed,No,Requires no special handling.,packing-images\0013.jpg
Vegetables,Zucchini,6–8 hours,Uncooked,1kg,Allowed,No,Requires no special handling.,packing-images\0013.jpg
Vegetables,Zucchini,9–12 hours,Uncooked,1kg,Allowed,No,Requires no special handling.,packing-images\0013.jpg
Vegetables,Zucchini,13–18 hours,Uncooked,1kg,Allowed,No,Requires no special handling.,packing-images\0013.jpg
Vegetables,Zucchini,Above 18 hours,Uncooked,1kg,Allowed,No,Requires no special handling.,packing-images\0013.jpg
Vegetables,Cabbage,3–5 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Cabbage,6–8 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Ensure airtight sealing for freshness.),packing-images\0001.jpg
Vegetables,Cabbage,9–12 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Consider extra wrapping or a moisture-proof bag.),packing-images\0001.jpg
Vegetables,Cabbage,13–18 hours,Cooked,1kg,Allowed,No,"Use resealable bags or food-grade wrapping paper, plus an additional protective layer (e.g., double wrapping or an extra sealed bag to prevent contamination).",packing-images\0001.jpg
Vegetables,Cabbage,Above 18 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper inside a rigid container (to prevent crushing or exposure to moisture over long travel times).,packing-images\0001.jpg
Vegetables,Cabbage,3–5 hours,Uncooked,1kg,Allowed,No,Suitable for all destinations.,packing-images\0014.jpg
Vegetables,Cabbage,6–8 hours,Uncooked,1kg,Allowed,No,Suitable for all destinations.,packing-images\0014.jpg
Vegetables,Cabbage,9–12 hours,Uncooked,1kg,Allowed,No,Suitable for all destinations.,packing-images\0014.jpg
Vegetables,Cabbage,13–18 hours,Uncooked,1kg,Allowed,No,Suitable for all destinations.,packing-images\0014.jpg
Vegetables,Cabbage,Above 18 hours,Uncooked,1kg,Allowed,No,Suitable for all destinations.,packing-images\0014.jpg
Vegetables,Garlic,3–5 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Garlic,6–8 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Ensure airtight sealing for freshness.),packing-images\0001.jpg
Vegetables,Garlic,9–12 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Consider extra wrapping or a moisture-proof bag.),packing-images\0001.jpg
Vegetables,Garlic,13–18 hours,Cooked,1kg,Allowed,No,"Use resealable bags or food-grade wrapping paper, plus an additional protective layer (e.g., double wrapping or an extra sealed bag to prevent contamination).",packing-images\0001.jpg
Vegetables,Garlic,Above 18 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper inside a rigid container (to prevent crushing or exposure to moisture over long travel times).,packing-images\0001.jpg
Vegetables,Garlic,3–5 hours,Uncooked,1kg,Allowed,No,A ventilated container is optional but recommended for delicate vegetables.,packing-images\0015.jpg
Vegetables,Garlic,6–8 hours,Uncooked,1kg,Allowed,No,Use a ventilated container to maintain airflow and prevent sweating.,packing-images\0015.jpg
Vegetables,Garlic,9–12 hours,Uncooked,1kg,Allowed,No,"Keep in a ventilated container with an additional moisture-absorbing layer (e.g., paper towels) to extend freshness.",packing-images\0015.jpg
Vegetables,Garlic,13–18 hours,Uncooked,1kg,Allowed,No,"Must be in a ventilated container with an extra protective layer (e.g., breathable mesh bag or perforated plastic) to reduce spoilage.",packing-images\0015.jpg
Vegetables,Garlic,Above 18 hours,Uncooked,1kg,Allowed,No,"Required in a ventilated container inside a rigid box to prevent crushing, maintain airflow, and ensure long-term freshness.",packing-images\0015.jpg
Vegetables,Chilies,3–5 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Chilies,6–8 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Ensure airtight sealing for freshness.),packing-images\0001.jpg
Vegetables,Chilies,9–12 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Consider extra wrapping or a moisture-proof bag.),packing-images\0001.jpg
Vegetables,Chilies,13–18 hours,Cooked,1kg,Allowed,No,"Use resealable bags or food-grade wrapping paper, plus an additional protective layer (e.g., double wrapping or an extra sealed bag to prevent contamination).",packing-images\0001.jpg
Vegetables,Chilies,Above 18 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper inside a rigid container (to prevent crushing or exposure to moisture over long travel times).,packing-images\0001.jpg
Vegetables,Chilies,3–5 hours,Uncooked,1kg,Allowed,No,Airtight bags are recommended but optional for short travel.,packing-images\0020.jpg
Vegetables,Chilies,6–8 hours,Uncooked,1kg,Allowed,No,Must be in an airtight bag to maintain freshness and prevent exposure to air.,packing-images\0020.jpg
Vegetables,Chilies,9–12 hours,Uncooked,1kg,Allowed,No,"Keep in an airtight bag with additional sealing (e.g., double-bagging) to ensure no leakage or spoilage.",packing-images\0020.jpg
Vegetables,Chilies,13–18 hours,Uncooked,1kg,Allowed,No,"Required in an airtight bag with moisture control (e.g., absorbent pads or silica gel for dry foods).",packing-images\0020.jpg
Vegetables,Chilies,Above 18 hours,Uncooked,1kg,Allowed,No,"Must be in an airtight bag inside a rigid container to prevent crushing, leakage, and maintain long-term freshness.",packing-images\0020.jpg
Vegetables,Pumpkin,3–5 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Pumpkin,6–8 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Ensure airtight sealing for freshness.),packing-images\0001.jpg
Vegetables,Pumpkin,9–12 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Consider extra wrapping or a moisture-proof bag.),packing-images\0001.jpg
Vegetables,Pumpkin,13–18 hours,Cooked,1kg,Allowed,No,"Use resealable bags or food-grade wrapping paper, plus an additional protective layer (e.g., double wrapping or an extra sealed bag to prevent contamination).",packing-images\0001.jpg
Vegetables,Pumpkin,Above 18 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper inside a rigid container (to prevent crushing or exposure to moisture over long travel times).,packing-images\0001.jpg
Vegetables,Pumpkin,3–5 hours,Uncooked,1kg,Allowed,No,Cut into manageable sizes.,packing-images\0016.jpg
Vegetables,Pumpkin,6–8 hours,Uncooked,1kg,Allowed,No,Cut into manageable sizes.,packing-images\0016.jpg
Vegetables,Pumpkin,9–12 hours,Uncooked,1kg,Allowed,No,Cut into manageable sizes.,packing-images\0016.jpg
Vegetables,Pumpkin,13–18 hours,Uncooked,1kg,Allowed,No,Cut into manageable sizes.,packing-images\0016.jpg
Vegetables,Pumpkin,Above 18 hours,Uncooked,1kg,Allowed,No,Cut into manageable sizes.,packing-images\0016.jpg
Vegetables,Leeks,3–5 hours,Cooked,1kg,Allowed,No,Mesh bags are optional; minimal risk of spoilage.,packing-images\0007.jpg
Vegetables,Leeks,6–8 hours,Cooked,1kg,Allowed,No,Use breathable mesh bags to prevent condensation.,packing-images\0007.jpg
Vegetables,Leeks,9–12 hours,Cooked,1kg,Allowed,No,Ensure mesh bags have proper airflow to avoid moisture buildup.,packing-images\0007.jpg
Vegetables,Leeks,13–18 hours,Cooked,1kg,Allowed,No,Use high-quality mesh bags with extra ventilation to maintain freshness.,packing-images\0007.jpg
Vegetables,Leeks,Above 18 hours,Cooked,1kg,Allowed,No,Store in mesh bags inside a well-ventilated container to prevent spoilage.,packing-images\0007.jpg
Vegetables,Leeks,3–5 hours,Uncooked,1kg,Restricted,Yes,Avoid carrying fresh.,packing-images\0017.jpg
Vegetables,Leeks,6–8 hours,Uncooked,1kg,Restricted,Yes,Avoid carrying fresh.,packing-images\0017.jpg
Vegetables,Leeks,9–12 hours,Uncooked,1kg,Restricted,Yes,Avoid carrying fresh.,packing-images\0017.jpg
Vegetables,Leeks,13–18 hours,Uncooked,1kg,Restricted,Yes,Avoid carrying fresh.,packing-images\0017.jpg
Vegetables,Leeks,Above 18 hours,Uncooked,1kg,Restricted,Yes,Avoid carrying fresh.,packing-images\0017.jpg
Vegetables,Cauliflower,3–5 hours,Cooked,1kg,Allowed,No,Use sturdy containers to prevent damage,packing-images\0002.jpg
Vegetables,Cauliflower,6–8 hours,Cooked,1kg,Allowed,No,Use sturdy containers to prevent damage,packing-images\0002.jpg
Vegetables,Cauliflower,9–12 hours,Cooked,1kg,Allowed,No,Use sturdy containers to prevent damage,packing-images\0002.jpg
Vegetables,Cauliflower,13–18 hours,Cooked,1kg,Allowed,No,Use sturdy containers to prevent damage,packing-images\0002.jpg
Vegetables,Cauliflower,Above 18 hours,Cooked,1kg,Allowed,No,Use sturdy containers to prevent damage,packing-images\0002.jpg
Vegetables,Cauliflower,3–5 hours,Uncooked,1kg,Restricted,Yes,"Use thermal bags if needed, but temperature fluctuations are minimal.",packing-images\0004.jpg
Vegetables,Cauliflower,6–8 hours,Uncooked,1kg,Restricted,Yes,Use thermal bags to maintain temperature stability. Ensure proper sealing.,packing-images\0004.jpg
Vegetables,Cauliflower,9–12 hours,Uncooked,1kg,Restricted,Yes,Use high-quality thermal bags with an extra insulating layer to retain temperature.,packing-images\0004.jpg
